Class Name,Event,Timestamp
0 Class 0,Entry,2024-09-30 15:22:23.769347
0 Class 0,Entry,2024-09-30 15:22:24.255823
1 Class 1,Exit,2024-09-30 15:22:36.413214
1 Class 1,Exit,2024-09-30 15:22:36.626177
0 Class 0,Entry,2024-09-30 15:22:37.016539
0 Class 0,Entry,2024-09-30 15:22:38.479071
1 Class 1,Exit,2024-09-30 15:22:39.126493
0 Class 0,Entry,2024-09-30 15:22:40.248315
0 Class 0,Exit,2024-09-30 15:22:40.427368
0 Class 0,Entry,2024-09-30 15:22:52.046714
0 Class 0,Exit,2024-09-30 15:23:00.538645
1 Class 1,Exit,2024-09-30 15:23:00.668994
0 Class 0,Entry,2024-09-30 15:23:05.745765
0 Class 0,Entry,2024-09-30 15:23:06.963876
0 Class 0,Exit,2024-09-30 15:23:06.964033
0 Class 0,Entry,2024-09-30 15:23:07.249885
0 Class 0,Exit,2024-09-30 15:23:07.794881
0 Class 0,Exit,2024-09-30 15:23:08.011140
1 Class 1,Entry,2024-09-30 15:23:08.577322
0 Class 0,Entry,2024-09-30 15:23:08.800183
0 Class 0,Exit,2024-09-30 15:23:09.520224
0 Class 0,Entry,2024-09-30 15:23:10.261014
0 Class 0,Entry,2024-09-30 15:23:12.256977
1 Class 1,Exit,2024-09-30 15:23:13.073908
1 Class 1,Exit,2024-09-30 15:23:13.333317
1 Class 1,Entry,2024-09-30 15:23:13.550876
1 Class 1,Exit,2024-09-30 15:23:16.370273
0 Class 0,Exit,2024-09-30 15:23:16.370427
1 Class 1,Entry,2024-09-30 15:23:16.661510
0 Class 0,Entry,2024-09-30 15:23:16.944740
0 Class 0,Exit,2024-09-30 15:23:21.731290
1 Class 1,Entry,2024-09-30 15:23:23.611859
1 Class 1,Entry,2024-09-30 15:23:24.258284
1 Class 1,Exit,2024-09-30 15:23:25.306359
